PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
162;3357311667;-17.543718;-20.939264;-11.117162;32.255741;-0.669932;-212.528824;0.608061;-0.514632;0.591476;-0.124789
163;3357328334;-17.296799;-14.953020;-10.741009;21.660292;8.115822;-226.437820;0.604583;-0.531943;0.574261;-0.147450
164;3357345001;-18.733110;-19.676048;-13.993341;28.623894;14.407193;-246.723724;0.599913;-0.549547;0.555217;-0.172732
165;3357361668;-19.617998;-18.984184;-10.211894;44.191696;14.064677;-263.691406;0.595188;-0.566394;0.533647;-0.200422
166;3357378335;-21.931984;-24.958929;-10.816757;74.958534;16.463535;-277.854706;0.591404;-0.580662;0.509386;-0.231516
167;3357395002;-23.810230;-23.716604;-10.892215;53.507999;16.324890;-291.263306;0.584290;-0.596701;0.483828;-0.261657
168;3357411669;-26.548735;-34.326565;-6.339651;-24.622969;29.711559;-304.040802;0.567850;-0.618596;0.460416;-0.287929
169;3357428336;-26.259401;-24.142828;-7.012881;-140.097763;51.289116;-308.941528;0.538167;-0.648015;0.442216;-0.308055
170;3357445003;-30.683216;-24.617563;-1.752958;-259.617554;83.940598;-309.417786;0.493547;-0.683342;0.430608;-0.322540
171;3357461670;-29.194139;-12.601085;8.140942;-293.472992;101.031235;-301.731140;0.443125;-0.717190;0.421010;-0.334707
172;3357478337;-26.703352;-6.409834;7.310066;-250.970932;104.372398;-300.233276;0.395511;-0.745365;0.408177;-0.348415
173;3357495004;-22.750944;-0.669671;-4.510235;-95.587265;97.149017;-280.735870;0.365156;-0.761775;0.388063;-0.368466
174;3357511671;-22.633709;1.467847;-4.148206;131.935226;89.390633;-257.180481;0.360984;-0.763722;0.357213;-0.398520
175;3357528338;-20.434444;8.176200;-7.036121;195.024048;69.503990;-250.290924;0.364491;-0.761596;0.321723;-0.428499
176;3357545005;-18.384319;8.257806;1.106880;130.846939;67.583031;-239.180771;0.360930;-0.761036;0.290737;-0.453900
177;3357561672;-13.596883;22.616468;2.121291;6.195643;69.638313;-220.386948;0.344207;-0.765055;0.269733;-0.472713
178;3357578339;-3.686244;29.205585;-1.419881;-55.004642;73.228424;-182.543152;0.322741;-0.769677;0.256986;-0.487230
179;3357595006;-2.347236;11.964443;-11.014513;-18.789103;85.914734;-147.748291;0.307003;-0.769861;0.245883;-0.502598
180;3357611673;-2.400504;6.495694;-5.151296;5.638999;94.786148;-134.111191;0.294449;-0.767389;0.234720;-0.518962
181;3357628340;-2.687213;-3.211313;-5.119671;75.056686;95.400299;-127.057541;0.289955;-0.761195;0.218955;-0.537184
182;3357645007;-4.187140;5.019713;-1.687555;88.678467;98.755943;-129.726242;0.286453;-0.753726;0.201806;-0.555983
183;3357661674;-4.136004;6.051685;4.959411;98.102264;99.080246;-123.531380;0.284260;-0.745104;0.184420;-0.574461
184;3357678341;-1.593203;13.062663;4.237652;100.856728;95.403275;-114.005356;0.283059;-0.735884;0.167532;-0.591849
185;3357695008;-4.560276;15.254343;-2.777917;111.128609;97.493980;-103.200539;0.283632;-0.725288;0.150860;-0.608893
186;3357711675;-2.399455;7.926501;-9.486953;-2.603164;106.256065;-77.423737;0.274137;-0.717665;0.147235;-0.622999
187;3357728342;-2.789154;-12.957248;-11.148343;-34.408379;134.509506;-88.124718;0.259612;-0.708652;0.146419;-0.639512
188;3357745009;5.369014;11.828623;4.009839;-37.696007;145.039764;-77.690575;0.245351;-0.698152;0.147312;-0.656267
189;3357761676;-0.705263;1.181235;-4.903299;-94.375572;155.838074;-63.113174;0.226317;-0.687844;0.155350;-0.671951
190;3357778343;2.594171;11.325261;6.722160;-99.573608;149.656174;-49.307220;0.208081;-0.677479;0.164953;-0.685941
191;3357795010;5.464044;10.440476;9.034792;-144.945328;158.035736;-11.571098;0.188757;-0.666163;0.182892;-0.697960
192;3357811677;6.434217;-3.268968;-3.842844;-79.403992;144.251480;6.804019;0.177866;-0.653436;0.195421;-0.709363
193;3357828344;10.033307;-1.048136;3.280358;-48.234730;140.891006;15.947989;0.170885;-0.639651;0.205419;-0.720727
194;3357845011;11.076664;-1.510567;3.133509;-42.997349;140.866882;21.636808;0.164910;-0.625267;0.215296;-0.731774
195;3357861678;12.892332;-2.047241;3.798314;-29.828016;134.287415;29.616240;0.161117;-0.610742;0.224241;-0.742127
196;3357878345;9.211354;-8.046324;5.895251;-33.231361;137.601532;27.431757;0.156611;-0.595749;0.233337;-0.752403
197;3357895012;6.294427;-5.345317;0.543249;-4.084362;125.904961;25.267750;0.154733;-0.581208;0.238703;-0.762414
198;3357911679;5.890198;-1.916166;9.307093;-16.289856;119.859070;23.380608;0.151776;-0.567486;0.245052;-0.771280
199;3357928346;4.122398;-11.206986;9.938828;-26.194862;119.186394;23.359812;0.147977;-0.553872;0.252415;-0.779497
200;3357945013;3.171536;-2.676090;4.267107;-61.366196;119.705475;11.637218;0.139951;-0.541183;0.262752;-0.786445
201;3357961680;4.761901;-3.000418;6.405304;-81.406120;121.271988;21.681629;0.131379;-0.528112;0.276095;-0.792218
202;3357978347;8.216494;-4.732338;-5.894627;-58.885391;114.765167;27.161219;0.125378;-0.514922;0.287027;-0.797967
203;3357995014;5.442148;-9.310215;0.529769;-47.384792;124.669189;26.943748;0.119751;-0.500195;0.296687;-0.804638
204;3358011681;5.197233;-4.799634;2.180390;-68.988838;133.023178;28.828518;0.112363;-0.484567;0.309035;-0.810596
205;3358028348;7.929588;-7.262198;0.014151;-76.049026;127.392288;33.152210;0.105186;-0.469289;0.322281;-0.815377
206;3358045015;7.451662;-4.964668;1.424155;-68.844643;136.669220;44.624306;0.099373;-0.452027;0.335436;-0.820536
207;3358061682;5.865201;-5.365704;-7.184630;-29.097029;139.310501;49.381302;0.096561;-0.433417;0.344031;-0.827326
208;3358078349;4.914176;3.197886;0.073321;-8.055443;136.514740;60.244030;0.096477;-0.414105;0.350584;-0.834446
209;3358095016;4.218355;-1.372570;6.458607;-2.213191;131.621155;72.845917;0.098476;-0.394470;0.356948;-0.841002
210;3358111683;5.935148;5.603070;3.367909;-42.996216;137.950546;89.544991;0.099797;-0.373564;0.369151;-0.845114
211;3358128350;6.749379;3.487132;1.046841;-21.086132;122.856773;106.837769;0.105185;-0.353052;0.379156;-0.848841
212;3358145017;-0.073681;5.458055;1.666645;-50.853832;137.601883;132.877167;0.111372;-0.329499;0.394129;-0.850699
213;3358161684;-4.026182;7.296069;-10.402436;-36.512829;141.905579;160.522247;0.121320;-0.303298;0.408362;-0.852369
214;3358178351;-7.428680;4.887108;-9.137696;-17.380741;144.262405;181.197784;0.134405;-0.274919;0.420750;-0.854005
