PacketCounter;SampleTimeFine;Acc_X;Acc_Y;Acc_Z;Gyr_X;Gyr_Y;Gyr_Z;Quat_W;Quat_X;Quat_Y;Quat_Z
189;2740476050;-9.262896;1.534634;1.897794;-3.503959;-46.830448;31.451868;0.796458;-0.143423;0.577218;-0.109109
190;2740492717;-10.309321;-0.752977;3.194816;-3.974582;-43.417469;33.016819;0.800545;-0.141580;0.572986;-0.103780
191;2740509384;-10.169318;2.123800;1.883024;-19.373543;-39.788193;39.317291;0.804054;-0.140923;0.569499;-0.096489
192;2740526051;-9.920939;-3.453429;5.354801;-38.970314;-40.630699;43.478977;0.807213;-0.142182;0.566231;-0.087036
193;2740542718;-8.098920;-1.313660;3.129831;-45.914513;-41.914772;43.782261;0.810252;-0.144228;0.562823;-0.076944
194;2740559385;-8.193615;-1.011494;3.218373;-43.703228;-39.976505;46.495152;0.813113;-0.145746;0.559599;-0.066741
195;2740576052;-8.377083;1.158354;2.647399;-29.944113;-38.851635;45.528057;0.816078;-0.145679;0.556288;-0.057784
196;2740592719;-7.941943;-0.877378;4.125925;-37.482285;-37.877277;47.551247;0.818738;-0.146301;0.553140;-0.047976
197;2740609386;-8.075316;0.932163;1.777344;-22.050848;-39.855778;47.887634;0.821808;-0.145047;0.549590;-0.039319
198;2740626053;-9.359362;1.224014;2.688787;-11.692569;-41.156929;52.952774;0.825143;-0.142129;0.545883;-0.030841
199;2740642720;-10.302778;0.241750;3.992971;-14.312242;-43.587490;55.732304;0.828536;-0.139281;0.541900;-0.021753
200;2740659387;-9.230955;-2.083447;5.204107;-21.780390;-46.445126;59.815319;0.831912;-0.136986;0.537611;-0.011515
201;2740676054;-7.734087;-4.717168;7.362582;-52.331638;-53.041096;57.178551;0.835060;-0.138581;0.532419;0.000922
202;2740692721;-8.601044;-5.977084;7.076015;-45.408474;-59.749737;55.797840;0.838725;-0.139427;0.526250;0.012770
203;2740709388;-8.726393;-6.200153;10.420522;-35.610062;-67.587372;46.969227;0.843064;-0.139731;0.518839;0.022923
204;2740726055;-9.709121;-1.978769;8.567547;-31.305944;-70.924644;37.837746;0.847654;-0.140177;0.510717;0.031670
205;2740742722;-12.324711;-2.447684;8.435469;-25.585266;-75.668289;33.083458;0.852610;-0.140220;0.501832;0.039491
206;2740759389;-11.915800;-0.926200;6.963034;-6.827294;-82.373627;32.253403;0.858307;-0.137931;0.492111;0.045965
